Iteration,xn,fxn,E
0,0,1,1.000005
0,5,26,1.000005
1,-0.2,1.04,5.2
2,-0.416666666666667,1.17361111111111,0.216666666666667
3,1.48648648648649,3.20964207450694,1.90315315315315
4,-1.51368421052632,3.29123988919668,3.0001706970128
5,119.497907949791,14280.7500043767,121.011592160317
6,-1.54157980355468,3.37646829072769,121.039487753346
7,-1.57020453563808,3.46554228373841,0.0286247320834006
8,-0.456521225361699,1.20841162920575,1.11368331027638
9,0.139717127383982,1.01952087568443,0.596238352745681
10,3.35786008131806,12.2752243257093,3.21814295393408
11,-0.151776330758369,1.02303605457847,3.50963641207643
12,-0.470868448797981,1.22171709607342,0.319092118039612
13,1.49127294576076,3.22389499875797,1.96214139455874
14,-1.66815550477416,3.78274278810833,3.15942845053492
15,19.7174622136001,389.778316144749,21.3856177183743
16,-1.87773379213622,4.52588419413028,21.5951960057364
17,-2.13143071437664,5.54299689018811,0.253696922240416
18,-0.748849161241679,1.56077506629237,1.38258155313496
19,-0.206966034013527,1.04283493923529,0.541883127228152
20,0.88407640223572,1.78159108499005,1.09104243624925
21,-1.74709152636618,4.0523288015005,2.6311679286019
22,2.94845631305724,9.69339463000707,4.69554783942341
23,-5.12019588766671,27.2164059280791,8.06865220072395
24,7.41188035493396,55.935970395856,12.5320762426007
25,-16.9963534987246,289.876032253609,24.4082338536586
26,13.2479831387468,176.509057244519,30.2443366374714
27,60.3375288061508,3641.61738243308,47.089545667404
28,10.8492900729611,118.707095087251,49.4882387331898
29,9.18174688229205,85.3044758104797,1.66754319066901
30,4.92313181403375,25.2372268583512,4.2586150682583
31,3.13387666326628,10.821182940565,1.78925515076747
32,1.79079964267572,4.2069633602075,1.34307702059056
33,0.936537738166087,1.87710293500925,0.854261904509636
34,0.248282977975813,1.06164443715254,0.688254760190274
35,-0.647755066167729,1.41958662574596,0.896038044143542
36,2.90590154140971,9.44426376836732,3.55365660757744
37,-1.27640632564541,2.62921310814762,4.18230786705512
38,-2.88992018117055,9.3516386535368,1.61351385552514
39,-0.645343660766332,1.41646844049129,2.24457652040421
40,-0.244675279615112,1.05986599245473,0.40066838115122
41,0.946160043507896,1.89521882793086,1.19083532312301
42,-1.75556481992839,4.08200783697019,2.70172486343628
43,3.28765700910807,11.8086886095374,5.04322182903645
44,-4.41990046878761,20.5355201539889,7.70755747789567
45,13.717117659629,189.159316888105,18.1370181284166
46,-6.62868184201597,44.9394229626723,20.3457995016449
47,-12.9685040706393,169.182097830187,6.33982222862329
48,-4.33552489780125,19.7967761394545,8.63297917283801
49,-3.19146901488749,11.1854744729869,1.14405588291376
50,-1.70542098525765,3.90846073695716,1.48604802962984
51,-0.907269354969581,1.82313768246692,0.798151630288065
52,-0.209468450516296,1.0438770317617,0.697800904453285
53,0.725287251882014,1.52604159774256,0.93475570239831
54,-2.23319660660106,5.9871670837345,2.95848385848308
55,1.73731200852058,4.01825301494982,3.97050861512164
56,9.84051390368745,97.835713888666,8.10320189516687
57,1.39024745206419,2.93278797797096,8.45026645162326
58,1.12910861338083,2.27488626081077,0.261138838683362
59,0.226145236344662,1.05114166792138,0.902963377036164
60,-0.549459767938703,1.30190603658325,0.775605004283365
61,3.47728790147303,13.0915311497307,4.02674766941174
62,-0.994125908574376,1.98828632209883,4.47141381004741
63,-1.79483336454581,4.22142680648682,0.800707455971429
64,-0.281212550081905,1.07908049832357,1.5136208144639
65,0.238564248070979,1.05691290045767,0.519776798152884
66,25.0206270881557,627.031779884551,24.7820628400847
67,0.196721542721114,1.03869936537058,24.8239055454346
68,0.155531670598763,1.02419010055924,0.0411898721223516
69,-2.75200774091311,8.57354660604569,2.90753941151187
70,0.549985566118488,1.30248412293867,3.3019933070316
71,1.14148011955556,2.30297686334057,0.591494553437071
72,-0.220047272247746,1.04842080202367,1.3615273918033
73,-1.35786301767823,2.84379197477823,1.13781574543049
74,0.444388981649081,1.19748156701111,1.80225199932731
75,1.75529823553059,4.08107189565682,1.31090925388151
76,-0.0999982192487154,1.00999964385291,1.85529645477931
77,-0.710159298157883,1.5043262287601,0.610161078909168
78,1.1466724863272,2.3148577908998,1.85683178448508
79,-4.15639246941456,18.2755983598061,5.30306495574176
80,1.91579978185893,4.67028880417073,6.07219225127349
81,4.0001986242321,17.0015890333083,2.08439884237316
82,1.12636603228891,2.26870043869425,2.87383259194319
83,0.68382788233922,1.46762057266454,0.442538149949686
84,-0.126925352883118,1.0161100452045,0.810753235222338
85,-1.9514996571099,4.80835091170006,1.82457430422678
86,0.361959278661956,1.13101451940948,2.31345893577186
87,1.07349484878307,2.15239119036378,0.71153557012111
88,-0.425954802175016,1.18143749349596,1.49944965095808
89,-2.25045584992422,6.06455153245815,1.82450104774921
90,0.0154712893589184,1.00023936079443,2.26592713928314
91,0.463008770575984,1.21437712163028,0.447537481217066
92,-2.07498021436834,5.30554289002009,2.53798898494433
93,1.21635779937349,2.47952629609672,3.29133801374183
94,4.10415370685814,17.8440776495174,2.88779590748465
95,0.750326235830664,1.56298946017581,3.35382747102747
96,0.428357769871754,1.1834903790095,0.321968465958911
97,-0.575719975549268,1.33145349024645,1.00407774542102
98,8.45952406226179,72.5635473599862,9.03524403781105
99,-0.744604625091801,1.5544360477081,9.20412868735359
100,-0.946089042442802,1.89508447623034,0.201484417351
