n,x_n,f_m,E
0,0,5,1.00000000005
1,-5,-100,5
2,-3.48484848484848,-28.6612683306898,1.51515151515152
3,-2.54398753313566,-7.53647809532782,0.940860951712823
4,-2.05229560944277,-1.48447765846157,0.491691923692891
5,-1.89654567270069,-0.121317792740558,0.155749936742077
6,-1.88137633166847,-0.00107563664962259,0.0151693410322244
7,-1.88123941216029,-8.70606953332846e-08,0.000136919508181288
8,-1.8812394010764,2.86015714610859e-16,1.10838893618848e-08
9,-1.8812394010764,2.86015714610859e-16,0
