Iteracion,x_1,x_2,Error
0,0,0,1.000005
1,2.5,1.25,1
2,1.875,1.5625,0.333333333333333
3,1.71875,1.640625,0.0909090909090909
4,1.6796875,1.66015625,0.0232558139534884
5,1.669921875,1.6650390625,0.00584795321637427
6,1.66748046875,1.666259765625,0.00146412884333821
7,1.6668701171875,1.66656494140625,0.000366166239472721
8,1.66671752929688,1.66664123535156,9.15499404925387e-05
9,1.66667938232422,1.66666030883789,2.28880089720995e-05
10,1.66666984558105,1.66666507720947,5.7220349845219e-06
11,1.66666746139526,1.66666626930237,1.43051079248867e-06
